INFO:2022-11-03 20:06:12,677:Búsqueda de imagenes iniciada
INFO:2022-11-03 20:06:59,027:Búsqueda de imagenes finalizada
INFO:2022-11-03 20:08:47,903:Búsqueda de imagenes iniciada
INFO:2022-11-03 20:09:40,753:Búsqueda de imagenes finalizada
INFO:2022-11-03 20:10:35,869:Codificacion de imagen iniciada
WARNING:2022-11-03 20:10:35,869:Error en path ingresado de la imagen
INFO:2022-11-03 20:11:02,221:Codificacion de imagen iniciada
INFO:2022-11-03 20:11:02,222:Codificacion de imagen finalizada
INFO:2022-11-03 20:11:32,204:Decodificacion de imagen iniciada
INFO:2022-11-03 20:11:32,205:Decodificacion de imagen finalizada
INFO:2022-11-03 20:12:42,056:Búsqueda de metadatos iniciada
WARNING:2022-11-03 20:12:42,114:Error en búsqueda de metadatos
INFO:2022-11-03 20:14:45,573:Búsqueda de imagenes iniciada
INFO:2022-11-03 20:14:45,823:Búsqueda de imagenes finalizada
INFO:2022-11-03 20:15:21,233:Búsqueda de imagenes iniciada
INFO:2022-11-03 20:15:21,465:Búsqueda de imagenes finalizada
INFO:2022-11-03 20:15:29,677:Búsqueda de imagenes iniciada
WARNING:2022-11-03 20:15:29,681:Error en la URL ingresada
INFO:2022-11-03 20:16:00,529:Búsqueda de imagenes iniciada
INFO:2022-11-03 20:16:01,848:Búsqueda de imagenes finalizada
INFO:2022-11-03 20:18:12,834:Búsqueda de puertos iniciada
INFO:2022-11-03 20:19:09,419:Búsqueda de puertos terminada
INFO:2022-11-03 20:32:02,789:Búsqueda de puertos iniciada
INFO:2022-11-03 20:32:57,407:Búsqueda de puertos terminada
INFO:2022-11-03 20:33:39,263:Búsqueda de puertos iniciada
INFO:2022-11-03 20:34:33,868:Búsqueda de puertos terminada
INFO:2022-11-03 20:37:16,714:Búsqueda de metadatos iniciada
WARNING:2022-11-03 20:37:16,735:Error en búsqueda de metadatos
INFO:2022-11-03 20:37:37,061:Búsqueda de metadatos iniciada
WARNING:2022-11-03 20:37:37,088:Error en búsqueda de metadatos
INFO:2022-11-03 20:43:16,500:Búsqueda de metadatos iniciada
WARNING:2022-11-03 20:43:16,517:Error en path ingresado para obtencion de datos de imagen
INFO:2022-11-03 20:43:39,376:Búsqueda de metadatos iniciada
WARNING:2022-11-03 20:43:39,391:Error en path ingresado para obtencion de datos de imagen
INFO:2022-11-03 20:44:46,920:Análisis de urls iniciado
INFO:2022-11-03 20:45:17,933:Análisis de urls terminado
INFO:2022-11-12 23:23:23,611:Envio exitoso
